year	firm	evtdate
2006	000788	20070331
2006	000789	20070331
2006	000790	20070418
2006	000791	20070213
2006	000792	20070210
2006	000793	20070419
2006	000795	20070428
2006	000796	20070412
2006	000797	20070421
2006	000798	20070331
2006	000799	20070426
2006	000800	20070430
2006	000801	20070406
2006	000802	20070326
2006	000803	20070413
2006	000805	20070427
2006	000806	20070428
2006	000807	20070130
2006	000809	20070316
2006	000810	20070313
2006	000811	20070411
2006	000812	20070425
2006	000813	20070323
2006	000815	20070410
2006	000816	20070418
2006	000818	20070329
2006	000819	20070414
2006	000820	20070426
2006	000821	20070410
2006	000822	20070213
2006	000823	20070209
2006	000825	20070331
2006	000826	20070417
2006	000828	20070308
2006	000829	20070207
2006	000830	20070316
2006	000831	20070414
2006	000833	20070313
2006	000835	20070216
2006	000836	20070315
2006	000837	20070331
2006	000838	20070323
2006	000839	20070323
2006	000848	20070421
2006	000850	20070307
2006	000851	20070418
2006	000852	20070212
2006	000856	20070418
2006	000858	20070326
2006	000859	20070302
2006	000860	20070210
2006	000861	20070310
2006	000862	20070330
2006	000863	20070421
2006	000868	20070417
2006	000869	20070317
2006	000875	20070330
2006	000876	20070421
2006	000877	20070328
2006	000878	20070331
2006	000880	20070210
2006	000881	20070330
2006	000882	20070428
2006	000883	20070407
2006	000885	20070419
2006	000886	20070426
2006	000887	20070412
2006	000888	20070206
2006	000889	20070419
2006	000890	20070327
2006	000892	20070430
2006	000893	20070330
2006	000895	20070307
2006	000897	20070215
2006	000898	20070411
2006	000899	20070414
2006	000900	20070418
2006	000901	20070303
2006	000902	20070410
2006	000903	20070309
2006	000905	20070407
2006	000906	20070412
2006	000908	20070420
2006	000909	20070317
2006	000910	20070403
2006	000911	20070323
2006	000912	20070321
2006	000913	20070426
2006	000915	20070316
2006	000916	20070310
2006	000917	20070216
2006	000918	20070213
2006	000919	20070320
2006	000920	20070420
2006	000921	20070427
2006	000922	20070417
2006	000923	20070430
2006	000925	20070430
2006	000926	20070410
2006	000927	20070427
2006	000928	20070317
2006	000929	20070403
2006	000930	20070430
2006	000931	20070425
2006	000932	20070320
2006	000933	20070316
2006	000935	20070420
2006	000936	20070306
2006	000937	20070214
2006	000938	20070406
2006	000939	20070215
2006	000948	20070331
2006	000949	20070315
2006	000950	20070309
2006	000951	20070421
2006	000952	20070323
2006	000953	20070324
2006	000955	20070417
2006	000957	20070416
2006	000958	20070324
2006	000959	20070412
2006	000960	20070213
2006	000961	20070419
2006	000962	20070327
2006	000963	20070214
2006	000965	20070413
2006	000966	20070315
2006	000967	20070427
2006	000968	20070317
2006	000969	20070331
2006	000970	20070324
2006	000971	20070430
2006	000972	20070411
2006	000973	20070428
2006	000975	20070412
2006	000976	20070319
2006	000977	20070321
2006	000978	20070315
2006	000979	20070405
2006	000980	20070213
2006	000981	20070427
2006	000982	20070412
2006	000983	20070308
2006	000985	20070320
2006	000987	20070328
2006	000988	20070131
2006	000989	20070303
2006	000990	20070313
2006	000993	20070320
2006	000995	20070411
2006	000996	20070412
2006	000997	20070413
2006	000998	20070319
2006	000999	20070428
2006	001696	20070307
2006	001896	20070412
2006	002001	20070327
2006	002002	20070421
2006	002003	20070414
2006	002004	20070409
2006	002005	20070331
2006	002006	20070406
2006	002007	20070322
2006	002008	20070403
2006	002009	20070329
2006	002010	20070407
2006	002011	20070403
2006	002012	20070313
2006	002013	20070201
2006	002014	20070120
2006	002015	20070206
2006	002016	20070426
2006	002017	20070321
2006	002018	20070328
2006	002019	20070326
2006	002020	20070403
2006	002021	20070327
2006	002022	20070316
2006	002023	20070327
2006	002024	20070310
2006	002025	20070228
2006	002026	20070320
2006	002027	20070316
2006	002028	20070208
2006	002029	20070410
2006	002030	20070322
2006	002031	20070328
2006	002032	20070308
2006	002033	20070209
2006	002034	20070412
2006	002035	20070213
2006	002036	20070316
2006	002037	20070328
2006	002038	20070306
2006	002039	20070326
2006	002040	20070330
2006	002041	20070418
2006	002042	20070403
2006	002043	20070420
2006	002044	20070329
2006	002045	20070426
2006	002046	20070409
2006	002047	20070414
2006	002048	20070418
2006	002049	20070406
2006	002050	20070411
2006	002051	20070404
2006	002052	20070424
2006	002053	20070329
2006	002054	20070418
2006	002055	20070421
2006	002056	20070308
2006	002057	20070411
2006	002058	20070210
2006	002059	20070410
2006	002060	20070328
2006	002061	20070330
2006	002062	20070316
2006	002063	20070426
2006	002064	20070313
2006	002065	20070418
2006	002066	20070323
2006	002067	20070416
2006	002068	20070306
2006	002069	20070323
2006	002070	20070315
2006	002071	20070425
2006	002072	20070423
2006	002073	20070420
2006	002074	20070410
2006	002075	20070424
2006	002076	20070313
2006	002077	20070411
2006	002078	20070417
2006	002079	20070316
2006	002080	20070410
2006	002081	20070329
2006	002082	20070416
2006	002083	20070326
2006	002084	20070228
2006	002085	20070416
2006	002086	20070228
2006	002087	20070417
2006	002088	20070326
2006	002089	20070406
2006	002090	20070213
2006	002091	20070330
2006	002092	20070213
2006	002093	20070216
2006	002094	20070417
2006	002095	20070328
2006	002096	20070212
2006	002097	20070320
2006	002098	20070417
2006	002099	20070420
2006	002100	20070315
2006	002101	20070214
2006	002102	20070328
2006	002103	20070324
2006	002104	20070322
2006	002105	20070419
2006	002106	20070228
2006	002107	20070327
2006	002108	20070316
2006	002109	20070208
2006	002110	20070326
2006	002111	20070327
2006	002112	20070416
2006	002113	20070327
2006	002114	20070417
2006	002115	20070406
2006	002116	20070420
2006	002117	20070317
2006	002118	20070403
2006	002124	20070424
2006	600001	20070418
2006	600003	20070425
2006	600004	20070327
2006	600005	20070416
2006	600006	20070330
2006	600007	20070331
2006	600008	20070425
2006	600009	20070316
2006	600010	20070308
2006	600011	20070404
2006	600012	20070326
2006	600017	20070124
2006	600018	20070410
2006	600019	20070331
2006	600020	20070424
2006	600021	20070330
2006	600022	20070428
2006	600026	20070330
2006	600027	20070326
2006	600028	20070410
2006	600029	20070417
2006	600031	20070308
2006	600033	20070414
2006	600035	20070428
2006	600037	20070329
2006	600038	20070403
2006	600039	20070407
2006	600048	20070213
2006	600050	20070330
2006	600051	20070327
2006	600052	20070421
2006	600053	20070206
2006	600054	20070127
2006	600055	20070407
2006	600056	20070327
2006	600057	20070414
2006	600058	20070407
2006	600059	20070323
2006	600060	20070420
2006	600061	20070308
2006	600062	20070330
2006	600063	20070126
2006	600064	20070130
2006	600065	20070428
2006	600066	20070213
2006	600067	20070420
2006	600068	20070414
2006	600069	20070215
2006	600070	20070330
2006	600071	20070329
2006	600072	20070410
2006	600073	20070315
2006	600074	20070430
2006	600075	20070310
2006	600076	20070410
2006	600077	20070329
2006	600078	20070120
2006	600079	20070411
2006	600080	20070414
2006	600081	20070320
2006	600082	20070205
2006	600083	20070428
2006	600084	20070426
2006	600085	20070327
2006	600086	20070421
2006	600087	20070213
2006	600088	20070406
2006	600089	20070301
2006	600090	20070331
2006	600091	20070428
2006	600093	20070331
2006	600094	20070428
2006	600095	20070319
2006	600096	20070130
2006	600097	20070407
2006	600098	20070323
2006	600099	20070210
2006	600100	20070417
2006	600101	20070428
2006	600102	20070323
2006	600103	20070413
2006	600104	20070330
2006	600105	20070417
2006	600106	20070329
2006	600107	20070417
2006	600108	20070428
2006	600109	20070123
2006	600110	20070410
2006	600111	20070309
2006	600112	20070421
2006	600113	20070320
2006	600114	20070214
2006	600115	20070420
2006	600116	20070328
2006	600117	20070307
2006	600118	20070210
2006	600119	20070403
2006	600120	20070416
2006	600121	20070331
2006	600122	20070228
2006	600123	20070328
2006	600125	20070328
2006	600126	20070426
2006	600127	20070331
2006	600128	20070330
2006	600129	20070331
2006	600130	20070327
2006	600131	20070301
2006	600132	20070322
2006	600133	20070210
2006	600135	20070316
2006	600136	20070331
2006	600137	20070327
2006	600138	20070317
2006	600139	20070410
2006	600141	20070327
2006	600143	20070214
2006	600145	20070430
2006	600146	20070418
2006	600148	20070315
2006	600149	20070407
2006	600150	20070328
2006	600151	20070320
2006	600152	20070315
2006	600153	20070330
2006	600155	20070430
2006	600156	20070309
2006	600157	20070421
2006	600158	20070322
2006	600159	20070130
2006	600160	20070421
2006	600161	20070328
2006	600162	20070310
2006	600163	20070406
2006	600165	20070331
2006	600166	20070322
2006	600167	20070413
2006	600168	20070331
2006	600169	20070320
2006	600170	20070324
2006	600171	20070331
2006	600172	20070421
2006	600173	20070320
2006	600175	20070426
2006	600176	20070412
2006	600177	20070403
2006	600178	20070403
2006	600179	20070329
2006	600180	20070430
2006	600181	20070430
2006	600182	20070328
2006	600183	20070413
2006	600184	20070309
2006	600185	20070421
2006	600186	20070430
2006	600187	20070430
2006	600188	20070423
2006	600189	20070328
2006	600190	20070413
2006	600191	20070428
2006	600192	20070316
2006	600193	20070417
2006	600195	20070320
2006	600196	20070430
2006	600197	20070328
2006	600198	20070427
2006	600199	20070418
2006	600200	20070317
2006	600201	20070424
2006	600202	20070327
2006	600203	20070428
2006	600205	20070210
2006	600206	20070212
2006	600207	20070430
2006	600208	20070202
2006	600209	20070428
2006	600210	20070427
2006	600211	20070428
2006	600212	20070430
2006	600213	20070406
2006	600215	20070420
2006	600216	20070411
2006	600217	20070428
2006	600218	20070330
2006	600219	20070120
2006	600220	20070403
2006	600221	20070413
2006	600222	20070421
2006	600223	20070412
2006	600225	20070430
2006	600226	20070420
2006	600227	20070206
2006	600228	20070426
2006	600229	20070418
2006	600230	20070316
2006	600231	20070328
2006	600232	20070430
2006	600233	20070310
2006	600234	20070428
2006	600235	20070331
2006	600236	20070418
2006	600237	20070317
2006	600238	20070210
2006	600239	20070428
2006	600240	20070125
2006	600241	20070329
2006	600242	20070428
2006	600243	20070421
2006	600246	20070213
2006	600247	20070425
2006	600248	20070430
2006	600249	20070427
2006	600250	20070331
2006	600251	20070403
2006	600252	20070410
2006	600253	20070405
2006	600255	20070303
2006	600256	20070428
2006	600257	20070403
2006	600258	20070317
2006	600259	20070428
2006	600260	20070418
2006	600261	20070322
2006	600262	20070428
2006	600263	20070406
2006	600265	20070427
2006	600266	20070411
2006	600267	20070403
2006	600268	20070215
2006	600269	20070320
2006	600270	20070328
2006	600271	20070322
2006	600272	20070430
2006	600273	20070206
2006	600275	20070430
2006	600276	20070208
2006	600277	20070330
2006	600278	20070320
2006	600279	20070324
2006	600280	20070410
